COGNATE PAIRS

ROMANIAN             FRENCH               

abreviațiune         abréviation          
abstergent           abstergent           
abstracțiune         abstraction          
abundant             abondante            
accelerațiune        accélération         
achizițiune          acquisition          
acvilă               aigle                
adjacent             adjacent             
administrațiune      administration       
admirațiune          admiration           
adnota               annoter              
adnotat              annotée              
adnotațiune          annotation           
adulațiune           adulation            
agenție              agence               
aglomerațiune        agglomération        
alabastru            albâtre              
altercațiune         altercation          
altul                autre                
aluziune             allusion             
ambițiune            ambition             
amic                 ami                  
amiciție             amitié               
amplificațiune       amplificateurs       
amputațiune          amputation           
ancoră               ancre                
animațiune           animation            
annona               annone               
anticipațiune        anticipation         
apozițiune           apposition           
aruspice             aruspice             
asină                âne                  
asociațiune          association          
aspirațiune          aspiration           
atestațiune          attestation          
atotputernicie       omnipotence          
atracțiune           attraction           
atribuțiune          attribution          
audițiune            auditeur             
auscultațiune        auscultation         
ave                  ave                  
aviațiune            aviation             
avunculat            avunculat            
bâlbâit              bègue                
balsam               baumier              
biform               biforme              
blasfemia            blasphème            
blasfemie            blasphème            
bouar                bouvier              
câine                chien                
camfor               camphre              
cămilă               chameau              
cancelar             chancelier           
cânepă               chanvre              
cânta                chanter              
cantatrice           cantatrice           
capitol              chapitre             
caprifoi             chèvrefeuille        
carbuncul            escarboucle          
carnal               charnelle            
cast                 chaste               
castan               châtaigne            
castană              châtaigne            
castitate            chasteté             
catechism            catéchisme           
catenă               chaîne               
ce                   quoi                 
celul                cellule              
centauree            centauree            
cereal               céréales             
chiler               cellier              
chirurg              chirurgien           
ciocănitoare         pic                  
circumcide           circoncire           
circumferență        circonférence        
circumspecțiune      circonspection       
cireș                cerise               
claustr              cloître              
claustru             cloître              
cocăi                coque                
cognațiune           cognation            
colocviu             colloque             
columnă              colonne              
columnar             colonnaire           
combinație           combinaison          
combinațiune         combinaison          
comburent            comburant            
comisiune            commission           
comparațiune         comparaison          
compensațiune        compensation         
compilațiune         compilation          
complicațiune        complication         
comunicațiune        communication        
concepțiune          conception           
conchide             conclure             
conchidere           conclure             
conciliațiune        conciliation         
conclude             conclure             
concomitant          concomitant          
conferență           conférences          
confervă             conferve             
confirmațiune        confirmation         
conflagrațiune       conflagration        
conformațiune        conformation         
congregațiune        congrégation         
conjuncțiune         conjonction          
conscripțiune        conscription         
conscriptor          conscription         
conspirațiune        conspiration         
constelațiune        constellation        
consternațiune       consternation        
constipațiune        constipation         
constrict            constriction         
construcțiune        construction         
contradicțiune       contradiction        
contradictor         contradiction        
contumace            contumace            
contuziune           contusion            
convinge             convaincre           
convins              convaincu            
cooperațiune         coopération          
coordinațiune        coordination         
corecțiune           correction           
corectură            correction           
coroană              couronne             
corpulent            corpulent            
corpulență           corpulent            
corupțiune           corruption           
coruptor             corruption           
creațiune            création             
crepitațiune         crepitation          
cretă                craie                
cŭadruplu            quadruple            
cuprinde             comprendre           
decembre             decembre             
decepțiune           déception            
declarațiune         déclaration          
decorațiune          décoration           
dedicațiune          dédicace             
deducțiune           déductif             
defecațiune          défécation           
definițiune          définition           
deformațiune         déformation          
degustațiune         dégustation          
dentițiune           dentition            
destinațiune         destination          
destructiv           destructive          
determinațiune       détermination        
deviațiune           déviation            
diaconat             diaconat             
dictamen             dictamen             
dijmă                dîme                 
dinte                dent                 
direcțiune           direction            
discipul             disciple             
distribuțiune        distributive         
distributor          distributeur         
divinațiune          divination           
dizolva              dissoudre            
dizolvat             dissous              
doge                 doge                 
donațiune            donateurs            
duumvir              duumvir              
duumvirat            duumvirat            
ebulițiune           ébullition           
echitațiune          équitation           
ecŭațiune            équation             
edițiune             éditeur              
educațiune           éducation            
elocință             éloquence            
emanațiune           émanation            
emancipațiune        émancipation         
emitent              émetteur             
emulațiune           émulation            
emulgent             emulgent             
emulsiune            émulsion             
enuclea              enuclea              
erbaceŭ              herbacée             
erudițiune           érudition            
eu                   je                   
evolută              évoluer              
evoluțiune           évolution            
exaltațiune          exaltation           
excavațiune          excavation           
excitațiune          excitation           
exclamațiune         exclamation          
exclude              exclure              
exclus               exclus               
excrețiune           excréteur            
expiațiune           expiation            
exploziune           explosion            
expulsiv             expulsive            
făinos               farineuse            
fascinațiune         fascination          
fauni                faunes               
febră                fièvre               
femoral              fémoral              
ferigă               fougère              
ferigile             fougères             
fermentațiune        fermentation         
filiațiune           filiation            
fisil                fissile              
flacără              flamme               
fluctuațiune         fluctuation          
fratern              fraternelle          
fruct                fruit                
fructă               fruits               
fumigațiune          fumigation           
funcțiune            fonction             
garum                garum                
generațiune          génération           
genunchi             genou                
germina              germer               
gerunziu             gérondif             
gestațiune           gestation            
ghindă               gland                
gips                 gypse                
girus                gyrus                
gladiolă             glaïeuls             
glorie               gloire               
gramatic             grammaire            
gramatică            grammaire            
grâne                grain                
grăunț               grain                
guler                collier              
ibex                 ibex                 
iepe                 juments              
ilustrațiune         illustration         
iluziune             illusion             
imaginațiune         imagination          
imitațiune           imitation            
imprecațiune         imprécation          
inamic               ennemi               
incarnațiune         incarnations         
încinge              ceindre              
incitațiune          incitation           
indeterminat         indéterminée         
indicațiune          indication           
inflamațiune         inflammation         
inhalațiune          inhalation           
instituțiune         institution          
interdicțiune        interdiction         
intonațiune          intonation           
invada               envahir              
invadare             envahissant          
invadat              envahi               
invitațiune          invitation           
iradiațiune          irradiation          
irigațiune           irrigation           
iritațiune           irritation           
irupțiune            irruption            
kaiser               kaiser               
kit                  kit                  
lactațiune           lactation            
lamentațiune         lamentation          
lână                 laine                
lanist               laniste              
legislațiune         législation          
lentisc              lentisque            
libațiune            libation             
liberațiune          libération           
lictor               licteur              
liliaceŭ             liliacées            
limes                limes                
lineament            linéament            
longev               longévité            
lustrațiune          lustration           
luxațiune            luxation             
macerațiune          macération           
mână                 main                 
mânc                 manger               
mânca                manger               
manipul              manipulation         
mărinimie            magnanimité          
măritat              marié                
mas                  mas                  
masticațiune         mastication          
măsurat              mesuré               
matern               maternelle           
medicațiune          médication           
meditațiune          méditation           
migdală              amande               
minți                mentir               
minus                moins                
miracul              miracle              
moderațiune          modération           
modulațiune          modulation           
molusc               mollusque            
montan               montagne             
morbific             morbifique           
mortificațiune       mortification        
munițiune            munitions            
navigațiune          navigation           
nodos                noueux               
nominațiune          nomination           
notațiune            notation             
novațiune            novation             
novembre             novembre             
nunțiu               nonce                
nutri                nourrir              
nutrit               nourri               
nutrițiune           nutrition            
obiecțiune           objection            
observațiune         observation          
obsesiune            obsession            
octobre              octobre              
octombrie            octobre              
odorifer             odoriférante         
omilie               homélie              
onest                honnête              
onești               honnête              
onomatopeie          onomatopée           
operațiune           opération            
osana                hosanna              
osanale              hosannas             
oscilațiune          oscillation          
osculațiune          osculation           
osos                 osseuse              
ovațiune             ovation              
păgân                païen                
pâine                pain                 
pâinea               pain                 
palid                pâle                 
panaceie             panacée              
paniculă             panicule             
paralelepiped        parallélépipède      
pater                pater                
pătrat               carré                
pauper               pauvre               
penetrațiune         pénétration          
peplu                péplum               
perdițiune           perdition            
perforațiune         perforation          
peritoneu            péritoine            
permutațiune         permutation          
persecuțiune         persécution          
perturbațiune        perturbation         
petițiune            pétition             
pieptănat            peignés              
piersică             pêche                
plângere             plainte              
plantațiune          plantation           
plebi                plèbe                
plen                 plénière             
plenipotență         plénipotentiaire     
plural               pluriel              
poemă                poème                
poluțiune            pollution            
pontifice            pontife              
populațiune          population           
posesie              possession           
praz                 poireau              
precepție            précepteur           
precipitațiune       précipitations       
preponderant         prépondérante        
prepotent            prepotent            
prezumptiv           présomptif           
probat               prouvé               
procreațiune         procréation          
profesie             profession           
progenitor           progéniteur          
progresiune          progression          
proporțiune          proportion           
propulsiune          propulsion           
psalm                psaume               
pulmon               poumon               
pumonaria            pulmonaire           
puncțiune            ponction             
punte                pont                 
pupa                 poupe                
rabie                rage                 
rânced               rance                
râncezi              rance                
rarefacțiune         raréfaction          
râuri                rivières             
