COGNATE PAIRS

ROMANIAN             ITALIAN              

ab                   ab                   
abacă                abaco                
abandon              abbandono            
abandona             abbandonare          
abces                ascesso              
abdica               abdicare             
abdomen              addome               
abducție             abduzione            
abducțiune           abduzione            
aberație             aberrazione          
abhora               aborrire             
abitație             abitazione           
abject               abietto              
abjura               abiurare             
abjurare             abiura               
ablațiune            ablazione            
abnegațiune          abnegazione          
aboli                abolire              
aboliționism         abolizionismo        
abolla               abolla               
abonament            abbonamento          
abortiv              abortivo             
abraziune            abrasione            
abreviațiune         abbreviazione        
abscisă              ascissa              
absent               assente              
absență              assenza              
absenteism           assenteismo          
absidă               abside               
absint               assenzio             
absorbi              assorbire            
abstenționism        astensionismo        
abstinent            astinente            
abstinență           astinenza            
abstracție           astrazione           
abstracțiune         astrazione           
absurd               assurdo              
abunda               abbondare            
abundență            abbondanza           
abuz                 abuso                
abuziv               abusivo              
acari                acari                
accelerațiune        accelerazione        
accepție             accezione            
acces                accesso              
accesibil            accessibile          
accesibilitate       accessibilità        
accesoriu            accessorio           
aceton               acetone              
acetonă              acetone              
achiziție            acquisizione         
achizițiune          acquisizione         
acid                 acido                
aciditate            acidità              
acido                acido                
aclama               acclamare            
aclimatiza           acclimatare          
acmee                acme                 
acrilic              acrilico             
acropolă             acropoli             
acrostih             acrostico            
actant               attante              
activ                attivo               
activitate           attività             
actor                attore               
actual               attuale              
actuar               attuario             
acuzativ             accusativo           
acvatic              acquatico            
acvilin              aquilino             
adapta               adattare             
adelfo               adelfo               
adera                aderire              
adeziune             adesione             
adiabatic            adiabatico           
adjectiv             aggettivo            
administrațiune      amministrazione      
administrator        amministratore       
admira               ammirare             
admirație            ammirazione          
admirațiune          ammirazione          
admite               ammettere            
admisiune            ammissione           
adnotație            annotazione          
adnotațiune          annotazione          
adopta               adottare             
adoptabil            adottabile           
adopție              adozione             
adoptiv              adottivo             
aducțiune            adduzione            
aductor              adduttore            
adult                adulto               
adulter              adulterio            
advent               avvento              
adverb               avverbio             
adverbial            avverbiale           
advers               avverso              
adversar             avversario           
adversară            avversario           
adversitate          avversità            
aediculă             edicola              
aerație              aerazione            
aeroplan             aeroplano            
afabil               affabile             
afabilitate          affabilità           
afectație            affettazione         
afecțiune            affetto              
afectiv              affettivo            
afectuos             affettuoso           
afereză              aferesi              
afilie               affiliazione         
afiliere             affiliazione         
afinitate            affinità             
afluent              affluente            
afluență             affluenza            
aflux                afflusso             
afonie               afonia               
aforism              aforisma             
afrodiziac           afrodisiaco          
agil                 agile                
agitație             agitazione           
agitațiune           agitazione           
aglutina             agglutinare          
aglutinat            agglutinare          
agonie               agonia               
agorafobie           agorafobia           
agregație            aggregazione         
agregațiune          aggregazione         
agricol              agricola             
agricola             agricola             
agricultură          agricoltura          
agro                 agro                 
agronom              agronomo             
agronomă             agronomia            
alanină              alanina              
albedo               albedo               
album                album                
albumen              albume               
albumină             albumina             
alegorie             allegoria            
alfa                 alfa                 
algă                 alga                 
alianță              alleanza             
alibi                alibi                
aliena               alienare             
aligator             alligatore           
alopecie             alopecia             
alpaca               alpaca               
altera               alterare             
altul                altro                
altruism             altruismo            
aluminiu             alluminio            
alunit               alunite              
aluvionar            alluvionale          
aluvionare           alluvionale          
alveolă              alveolo              
amarant              amaranto             
ambala               imballare            
ambalare             imballaggio          
ambiant              ambiente             
ambidextru           ambidestro           
ambiguu              ambiguo              
ambițios             ambizioso            
ambițiune            ambizione            
ambrozie             ambrosia             
ambulanță            ambulanza            
amfiteatru           anfiteatro           
amforă               anfora               
amibă                ameba                
amnezie              amnesia              
amnio                amnio                
amoniac              ammoniaca            
amorf                amorfo               
amperaj              amperaggio           
amplu                ampio                
amputa               amputare             
amulet               amuleto              
amuletă              amuleto              
ana                  ana                  
anabolism            anabolismo           
anaforă              anafora              
anale                annali               
analfabet            analfabeta           
analiză              analisi              
analog               analogo              
analogic             analogico            
analogie             analogia             
anamorfoză           anamorfosi           
ananas               ananas               
anapest              anapesto             
anatocism            anatocismo           
anatomie             anatomia             
anchiloză            anchilosi            
anecdotă             aneddoto             
anestezie            anestesia            
anexiune             annessione           
anghilă              anguilla             
anghină              angina               
angină               angina               
angiom               angioma              
anglican             anglicano            
angrenaj             ingranaggio          
angular              angolare             
anima                animare              
animalitate          animalità            
animație             animazione           
animațiune           animazione           
animozitate          animosità            
aniversar            anniversario         
aniversară           anniversario         
aniversare           anniversario         
annona               annona               
anorexie             anoressia            
anormal              anormale             
ante                 ante                 
antemeridian         antimeridiano        
anteră               antera               
anteză               antesi               
anticar              antiquario           
anticipa             anticipare           
anticipație          anticipazione        
anticipațiune        anticipazione        
antidot              antidoto             
antinomie            antinomia            
antipod              antipode             
antirabic            rabbia               
antiteză             antitesi             
antre                entre                
anular               anulare              
anus                 ano                  
aorist               aoristo              
aortă                aorta                
apărea               apparire             
apare                apparire             
apeduct              acquedotto           
apeiron              apeiron              
apendicular          appendicolare        
apetit               appetito             
apicol               ape                  
aplauda              applaudire           
aplicațiune          applicazione         
apocopă              apocope              
apocrif              apocrifo             
apodictic            apodittico           
apofiză              apofisi              
apoplectic           apoplettico          
apoplexie            apoplessia           
aporie               aporia               
apostat              apostata             
apostazie            apostasia            
apostrof             apostrofo            
apostrofă            apostrofo            
apotemă              apotema              
apoteoză             apoteosi             
apoziție             apposizione          
apozițiune           apposizione          
aprecia              apprezzare           
apreciere            apprezzamento        
aprehensiune         apprensione          
aprofunda            approfondire         
ara                  arare                
arătură              aratura              
arbitra              arbitrare            
arbitrar             arbitrario           
arbitru              arbitro              
arcanul              arcano               
arctic               artico               
arctica              artico               
ardoare              ardore               
arenă                arena                
areolă               areola               
areometru            areometro            
aresta               arrestare            
arestare             arrestare            
argento              argento              
argilos              argilloso            
argument             argomento            
argumenta            argomentare          
argumentație         argomentazione       
arhitect             architetto           
arhitectă            architetto           
arhitectură          architettura         
arhivă               archivio             
arid                 arido                
ariditate            aridità              
aristă               arista               
aritmetică           aritmetica           
armătură             armatura             
armiger              armigero             
armură               armatura             
arnică               arnica               
arogant              arrogante            
aroganță             arroganza            
arsenic              arsenico             
arteră               arteria              
artezian             artesiano            
articula             articolare           
articular            articolare           
articulat            articolare           
artrită              artrite              
artritic             artritico            
asambla              assemblare           
asesor               assessore            
asfalt               asfalto              
asfixie              asfissia             
asimetrie            asimmetria           
asimila              assimilare           
asimptotă            asintoto             
asină                asino                
asocia               associare            
aspartic             aspartico            
aspect               aspetto              
asperitate           asperità             
aspic                aspic                
aspirină             aspirina             
assize               assise               
astatin              astato               
astatiniu            astato               
astenia              astenia              
astenie              astenia              
asterisc             asterisco            
astmă                asma                 
astmatic             asmatico             
astragal             astragalo            
astral               astrale              
astrologă            astrologia           
astrologie           astrologia           
astronomă            astronomia           
astronomie           astronomia           
asuda                sudare               
atavism              atavismo             
ataxie               atassia              
atesta               attestare            
atestare             attestazione         
atletică             atletica             
atopie               atopia               
atotputernic         onnipotente          
atotputernicie       onnipotenza          
atotputernicul       onnipotente          
atracțiune           attrazione           
atractiv             attrattivo           
atribut              attributo            
atrio                atrio                
atriu                atrio                
atrofie              atrofia              
audibil              udibile              
augmenta             aumentare            
august               agosto               
aulos                aulos                
aură                 aura                 
aurifer              aurifero             
auriga               auriga               
austral              australe             
autodidact           autodidatta          
automatism           automatismo          
automatiza           automatizzare        
automobilism         automobilismo        
ave                  ave                  
avenă                avena                
aviator              aviatore             
avulsiune            avulsione            
axă                  asse                 
axilă                ascella              
axiomă               assioma              
axis                 asse                 
azot                 azoto                
babuin               babbuino             
bacalaureat          baccalaureato        
bacalaureată         baccalaureato        
bacanală             baccanale            
bacara               baccara              
bacil                bacillo              
bagaj                bagaglio             
baionetă             baionetta            
bairam               bairam               
balafon              balafon              
balanită             balanite             
balnear              balneare             
balneoterapie        balneoterapia        
balotaj              ballottaggio         
banal                banale               
bar                  bar                  
barbar               barbaro              
barbarie             barbarie             
baricadare           barricata            
baricada             barricata            
barieră              barriera             
baronet              baronetto            
baschet              basket               
bazar                bazar                
beatifica            beatificare          
bebe                 bebe                 
beligerant           belligerante         
beneficiar           beneficiario         
beneficiară          beneficiario         
bertă                berta                
bicicletă            bicicletta           
biciclete            bicicletta           
bienal               biennale             
biftec               bistecca             
bigam                bigamo               
bigot                bigotto              
bigudiu              bigodino             
bikini               bikini               
bilă                 bile                 
bildungsroman        bildungsroman        
bilingv              bilingue             
bilios               bilioso              
binar                binario              
binefăcător          benefattore          
bipartiție           bipartizione         
biped                bipede               
biplan               biplano              
birefringent         birifrangente        
birocrat             burocrate            
birocratic           burocratico          
birocrație           burocrazia           
bistrou              bistro               
bitum                bitume               
bitumen              bitume               
bituminos            bituminoso           
biuretă              buretta              
bizon                bisonte              
blază                blase                
blazat               blase                
blazon               blasone              
bloca                bloccare             
blocare              bloccare             
boa                  boa                  
bobină               bobina               
bobina               bobina               
bobslei              bob                  
boicot               boicottare           
boicota              boicottare           
boldo                boldo                
bolero               bolero               
bomb                 bomba                
bombonieră           bomboniera           
borax                borace               
boreal               boreale              
braconaj             bracconaggio         
braconier            bracconiere          
brahial              brachiale            
branhie              branchia             
bregmă               bregma               
brevet               brevetto             
brom                 bromo                
brucină              brucina              
brumar               brumaio              
bucale               bocca                
buccinator           buccinatore          
bucentaur            bucintoro            
bucolic              bucolico             
bucolică             bucolico             
budincă              budino               
bulb                 bulbo                
bulbo                bulbo                
bulimie              bulimia              
bulon                bullone              
buncăr               bunker               
burnuz               burnus               
cablogramă           cablogramma          
cabotaj              cabotaggio           
cacao                cacao                
cacofonie            cacofonia            
cactus               cactus               
cadet                cadetto              
cadril               quadriglia           
cadrilater           quadrilatero         
caiman               caimano              
câine                cane                 
calamina             calamina             
calamus              calamo               
calceolă             calceolă             
calcinare            calcinazione         
calcula              calcolare            
caldeiră             caldera              
caliciu              calice               
caligrafie           calligrafia          
caliptră             caliptră             
calomnia             calunnia             
caloric              calorico             
calorific            calorifico           
calos                calloso              
calviție             calvizie             
camarilă             camarilla            
cambra               cambra               
cămilă               cammello             
camion               camion               
câmp                 campo                
campus               campus               
canalizație          canalizzazione       
cancan               cancan               
cancelar             cancelliere          
cancer               cancro               
candidat             candidato            
candidată            candidato            
canoniza             canonizzare          
canonizare           canonizzazione       
canotaj              canottaggio          
cânta                cantare              
canulă               cannula              
capilar              capillare            
capitat              capitato             
capitolin            capitolino           
capitolinul          capitolino           
capricorn            capricorno           
caprifoi             caprifoglio          
capsidă              capside              
capsulă              capsula              
captivitate          cattività            
captură              catturare            
caracteriza          caratterizzare       
carambol             carambola            
carbuncul            carbonchio           
carbură              carburo              
carbura              carburatore          
cardie               cardias              
carie                carie                
carnivor             carnivoro            
carolă               carol                
carotidă             carotide             
carp                 carpo                
carpelă              carpello             
carpo                carpo                
caserolă             casseruola           
casiterit            cassiterite          
castra               castrare             
catalepsie           catalessi            
cataleptic           catalettico          
cataliză             catalisi             
catapultă            catapulta            
catar                catarro              
catastrofă           catastrofe           
catechism            catechismo           
categoremă           categoremă           
categorie            categoria            
catehism             catechismo           
catenă               catena               
catetă               cateto               
cateter              catetere             
catharsis            catarsi              
caud                 caudale              
cautelă              cautela              
cauterizare          cauterizzazione      
cauzal               causale              
cauzalgie            causalgia            
cav                  cavo                 
cavă                 cava                 
cavernă              caverna              
cavernos             cavernoso            
cazeină              caseina              
cazino               casino               
cazual               casuale              
cecitate             cecità               
ceco                 ceca                 
cedru                cedro                
celestină            celestino            
celibat              celibato             
cement               cemento              
cenotaf              cenotafio            
censor               censore              
cent                 cento                
centenar             centenario           
centralism           centralismo          
centralist           centralista          
centum               centum               
ceramic              ceramica             
cerebro              cerebro              
ceremonial           cerimoniale          
cerezină             ceresina             
ceroplastică         ceroplastică         
cerumen              cerume               
cervical             cervicale            
cervix               cervice              
cesiu                cesio                
cezar                cesare               
cezură               cesura               
chanson              chanson              
chestor              questore             
chestură             questura             
chietism             quietismo            
chilia               cella                
chilie               cella                
chim                 chimo                
chirurg              chirurgo             
chirurgie            chirurgia            
chitină              chitina              
cibernetică          cibernetica          
ciborium             ciborio              
ciclic               ciclico              
ciclist              ciclista             
ciclon               ciclone              
cidru                sidro                
cifoză               cifosi               
cimpanzeu            scimpanzé            
cincinal             quinquennale         
cinematic            cinematica           
cinematică           cinematica           
cinematografie       cinematografia       
cinematografiere     cinematografia       
cingulum             cingolo              
cinism               cinismo              
ciocănitoare         picchio              
circula              circolare            
circular             circolare            
circulară            circolare            
circumcide           circoncidere         
circumcizie          circoncisione        
circumciziune        circoncisione        
circumferență        circonferenza        
circumferință        circonferenza        
circumscrie          circoscrivere        
circumspect          circospetto          
circumspecție        circospezione        
circumspecțiune      circospezione        
circumstanță         circostanza          
cistă                cista                
citrat               citrato              
citric               citrico              
civilitate           civiltà              
civiliza             civilizzare          
clandestin           clandestino          
clastic              clastico             
claustr              chiostro             
claustra             chiostro             
claustro             claustro             
claustrofobie        claustrofobia        
claustru             chiostro             
clavecin             clavicembalo         
claviculă            clavicola            
cleric               chierico             
clerical             clericale            
clericalism          clericalismo         
climatologie         climatologia         
clinic               clinica              
clitoris             clitoride            
cloacă               cloaca               
clonus               clono                
clor                 cloro                
cloral               cloralio             
cloro                cloro                
clorofilă            clorofilla           
clorură              cloruro              
club                 club                 
coagula              coagulare            
coaliție             coalizione           
cobalt               cobalto              
cocardă              coccarda             
coccix               coccige              
cochilie             conchiglia           
cocteil              cocktail             
codicil              codicillo            
coerciție            coercizione          
coercitiv            coercitivo           
coerede              coerede              
coerent              coerente             
coerență             coerenza             
coetern              coeterno             
coeziune             coesione             
cogniție             cognizione           
cohlee               coclea               
cohortă              coorte               
coine                koine                
colabora             collaborare          
colaps               collasso             
colectiv             collettivo           
colectivă            collettivo           
colector             collettore           
coleg                collega              
colegă               collega              
colibri              colibrì              
colocviu             colloquio            
colofon              colofone             
color                colore               
colorare             colorare             
colos                colosso              
columbar             colombario           
columelă             columella            
columnă              colonna              
coluziune            collusione           
combina              combinare            
combină              combinare            
combinațiune         combinazione         
combo                combo                
comemora             commemorare          
comentatoare         commentatore         
comentator           commentatore         
comestibil           commestibile         
cometă               cometa               
comisură             commessura           
comodor              commodoro            
compact              compatto             
compacta             compatto             
compendiu            compendio            
compensa             compensare           
compensațiune        compensazione        
competent            competente           
compila              compilare            
complex              complesso            
complexa             complesso            
complexiune          complessità          
complica             complicare           
compozit             composito            
compozită            composito            
compozitor           compositore          
comprehensibil       comprensibile        
comprehensiune       comprensione         
comprima             comprimere           
compulsare           compulsare           
compulsie            compulsione          
compune              comporre             
computațional        computazionale       
comun                comune               
comunal              comunale             
comunica             comunicare           
comunicant           comunicando          
comunicație          comunicazione        
comunicațiune        comunicazione        
comunicativ          comunicativo         
comunism             comunismo            
comunist             comunista            
comuniune            comunione            
comutație            commutazione         
concept              concetto             
concepție            concezione           
concepțiune          concezione           
conceptual           concettuale          
concesie             concessione          
concesiune           concessione          
conchide             concludere           
conchidere           concludere           
conciliațiune        conciliazione        
conciliator          conciliatore         
concizie             concisione           
concomitant          concomitante         
concomitent          concomitante         
concrețiune          concrezione          
concubină            concubina            
condamna             condannare           
condamnat            condannare           
condițiune           condizione           
condor               condor               
condro               condro               
conductor            conduttore           
confecție            confezione           
confecțiune          confezione           
confervă             confervă             
confesor             confessore           
configurație         configurazione       
confirma             confermare           
confisca             confiscare           
confiteor            confiteor            
conflict             conflitto            
conformație          conformazione        
conformațiune        conformazione        
confruntare          confronto            
congela              congelare            
congestie            congestione          
conglutinare         conglutinare         
congregațiune        congregazione        
congres              congresso            
congruent            congruente           
conjectură           congettura           
conjuga              coniugare            
conjugal             coniugale            
conjugat             coniugare            
conjuncție           congiunzione         
conjunctiv           congiuntivo          
consecință           conseguenza          
consecuție           consecuzione         
consens              consenso             
conservator          conservatore         
considera            considerare          
considerație         considerazione       
consilia             consigliare          
consilier            consigliere          
consoartă            consorte             
consomme             consommé             
conspirație          cospirazione         
conspirațiune        cospirazione         
constant             costante             
constanță            costanza             
constante            costante             
constelație          costellazione        
constelațiune        costellazione        
constrictor          costrittore          
construcție          costruzione          
construcțiune        costruzione          
construi             costruire            
consubstanțial       consustanziale       
consubstanțialitate  consustanzialità     
consulat             consolato            
consult              consultare           
contact              contatto             
contamina            contaminare          
contemplațiune       contemplativo        
context              contesto             
conține              contenere            
continuum            continuo             
contracție           contrazione          
convecție            convezione           
convent              convento             
conversa             conversare           
converti             convertire           
convertit            convertire           
convexitate          convessità           
conviețui            convivere            
convolvulus          convolvolo           
cooperator           cooperatore          
coopta               cooptare             
copios               copioso              
copulă               copula               
copulație            copulazione          
cord                 cuore                
cordi                cuore                
cormoran             cormorano            
cornificare          corneificazione      
coroană              incoronare           
coroda               corrodere            
coronal              coronale             
corpulent            corpulento           
corpulență           corpulento           
cortical             corticale            
corupție             corruzione           
corupțiune           corruzione           
coșenilă             cocciniglia          
costal               costale              
coupe                coupe                
cozoroc              visiera              
crampă               crampo               
cranio               cranio               
craniu               cranio               
crap                 carpa                
crater               cratere              
crea                 creare               
creație              creazione            
creațiune            creazione            
creator              creatore             
credibil             credibile            
cremă                crema                
cremalieră           cremagliera          
creozot              creosoto             
crepidă              crepidă              
crepuscul            crepuscolo           
creson               crescione            
criteriu             criterio             
criză                crisi                
crocant              croccante            
crocodil             coccodrillo          
crom                 cromo                
croma                cromo                
cronică              cronaca              
crucifica            crocifiggere         
crupă                groppa               
crural               crurale              
crustă               crosta               
cuantor              quantum              
cuarț                quarzo               
cub                  cubo                 
cubiculum            cubicolo             
cubism               cubismo              
cubital              cubitale             
culm                 culmo                
culmina              culminare            
culoare              colore               
cult                 culto                
cumul                cumulo               
cumula               cumulare             
cupeu                coupe                
cupiditate           cupidigia            
curara               curaro               
curb                 curvo                
curial               curiale              
cursor               cursore              
cuspidă              cuspide              
cuticulă             cuticola             
cvadrant             quadrante            
cvadrat              quadrato             
cvadratură           quadratura           
cvadrienal           quadriennale         
cvadruplex           quadruplex           
cvorum               quorum               
dadaism              dadaismo             
dalmatic             dalmatica            
dalmatică            dalmatica            
damnațiune           dannazione           
decide               decidere             
decima               decimare             
decizie              decisione            
declara              dichiarare           
declarație           dichiarazione        
declarațiune         dichiarazione        
decorațiune          decorazione          
decortica            decorticare          
decorum              decoro               
decrepit             decrepito            
decrepita            decrepito            
decret               decreto              
deduce               dedurre              
deducțiune           deduttivo            
deductiv             deduttivo            
defeca               defecare             
defecație            defecazione          
defecațiune          defecazione          
defect               difetto              
defectoscopie        difetto              
defenestra           defenestrare         
defenestrare         defenestrare         
deficit              deficit              
defila               sfilata              
defilare             sfilata              
defileu              defile               
defini               definire             
definițiune          definizione          
deflagrație          deflagrazione        
deflație             deflazione           
deforma              deformare            
degetar              ditale               
degustație           degustazione         
degustațiune         degustazione         
deicid               deicidio             
deism                deismo               
deist                deista               
delega               delegare             
delegat              delegare             
delegație            delegazione          
deliberație          deliberativo         
deliberațiune        deliberativo         
deliberativ          deliberativo         
delicios             delizioso            
delicvescent         deliquescente        
delineare            delineare            
delirare             delirare             
demarcațiune         demarcazione         
demisionar           dimissionario        
democratiza          democratizzare       
demola               demolire             
demonstrabil         dimostrabile         
demonstrație         dimostrazione        
demonstrativ         dimostrativo         
demoraliza           demoralizzare        
dendrită             dendrite             
denigra              denigrare            
denota               denotare             
densi                denso                
densitate            densità              
dentiție             dentizione           
dentițiune           dentizione           
depila               depilare             
deporta              deportare            
depoziție            deposizione          
depozițiune          deposizione          
deprava              depravare            
deriva               derivare             
descinde             discendere           
descripțiune         descrittivo          
descriptiv           descrittivo          
descuama             desquamare           
descuamat            desquamare           
desemna              designare            
deshidrata           disidratare          
deshidratare         disidratazione       
desiderata           desiderata           
desinență            desinenza            
destinație           destinazione         
destinațiune         destinazione         
determina            determinare          
detractoare          detrattore           
detractor            detrattore           
detritus             detrito              
deuteriu             deuterio             
devitaliza           devitalizzare        
deziluzie            disillusione         
deziluziune          disillusione         
diabaz               diabase              
diacon               diacono              
diaconat             diaconato            
diacritic            diacritico           
diademă              diadema              
diagonal             diagonale            
diagonală            diagonale            
dialectic            dialettica           
dialectică           dialettica           
dialelă              diallele             
diaree               diarrea              
diareie              diarrea              
diastază             diastasi             
diastemă             diastema             
diastolă             diastole             
diatribă             diatriba             
dicta                dettare              
dictat               dettare              
dictatorial          dittatoriale         
didascalie           didascalia           
dificultate          difficoltà           
digamma              digamma              
digestie             digestione           
dijmă                decima               
dilemă               dilemma              
diligent             diligente            
dinamită             dinamite             
dinamitare           dinamite             
direcție             direzione            
direcțiune           direzione            
director             direttore            
discerne             discernere           
discipol             discepolo            
discipul             discepolo            
discurs              discorso             
disjuncție           disgiunzione         
disonanță            dissonanza           
dispepsie            dispepsia            
distensie            distensione          
distimie             distimia             
distocie             distocia             
diuretic             diuretico            
diversitate          diversità            
diverticul           diverticolo          
divinație            divinazione          
divinațiune          divinazione          
divizor              divisore             
divulgator           divulgatore          
doctrinal            dottrinale           
dogmă                dogma                
dogmatic             dogmatico            
dogmatică            dogmatico            
dolman               dolman               
dolmen               dolmen               
domesticitate        domesticità          
dotă                 dote                 
dotare               dotazione            
drenă                drenare              
drena                drenare              
dromader             dromedario           
dromo                dromo                
drupă                drupa                
duct                 dotto                
ductil               duttile              
dugong               dugongo              
duodecimal           duodecimale          
duoden               duodeno              
duplicație           duplicazione         
duramen              durame               
duumvirat            duumvirato           
ebraic               ebraico              
ebraică              ebraico              
ebuliometru          ebulliometro         
ebuliție             ebollizione          
ebulițiune           ebollizione          
echidistant          equidistante         
echilater            equilatero           
echimoză             ecchimosi            
echinocțial          equinoziale          
echinocțiu           equinozio            
echitate             equità               
echitație            equitazione          
echitațiune          equitazione          
eclampsie            eclampsia            
ectropion            ectropion            
ecuație              equazione            
ecŭațiune            equazione            
ecumenic             ecumenico            
ecvestru             equestre             
eczemă               eczema               
edafic               edafico              
edem                 edema                
edict                editto               
edicule              edicola              
educator             educatore            
efebie               efebia               
efector              effettore            
eferent              efferente            
efuzie               effusione            
efuziune             effusione            
ego                  ego                  
egoism               egoismo              
ejecție              eiezione             
electiv              elettivo             
eleganță             eleganza             
elementar            elementare           
elevație             elevazione           
elicopter            elicottero           
elipsă               ellisse              
eliziune             elisione             
emana                emanare              
