COGNATE PAIRS

ROMANIAN             PORTUGUESE           

a                    a                    
abac                 ábaco                
abacă                ábaco                
abandon              abandono             
abandona             abandonar            
abanos               ébano                
abatesă              abadessa             
abație               abadia               
abdica               abdicar              
abdominal            abdominal            
abdominoscopie       abdominoscopie       
abducție             abdução              
abducțiune           abdução              
aberant              aberrante            
aberație             aberração            
abhorare             abhorare             
abietin              abietina             
abil                 hábil                
abitație             habitação            
abject               abjeto               
abjura               abjurar              
ablacta              ablacta              
ablațiune            ablação              
ablativ              ablativo             
ablefarie            ablefarie            
ablega               ablega               
ablegat              ablegat              
abluțiune            ablução              
abnega               abnega               
abnegație            abnegação            
abnegațiune          abnegação            
aboli                abolir               
aboliționism         abolicionismo        
abominabil           abominável           
abominațiune         abominação           
aborigen             aborígene            
abortiv              abortivo             
abraziune            abrasão              
abraziv              abrasivo             
abrevia              abreviar             
abreviat             abreviado            
abreviatură          abreviatura          
abscons              abscons              
absent               ausente              
absență              ausência             
absenteism           absentismo           
absint               absinto              
absolutism           absolutismo          
absoluțiune          absoluto             
absolutoriu          absolutoriu          
absorbi              absorver             
absorbție            absorção             
absorpțiune          absorção             
abstenționism        abstencionismo       
abstenționist        abstencionista       
abstențiune          abstenção            
abstergent           abstergente          
abstinent            abstinente           
abstinență           abstinência          
abstracție           abstração            
abstracționism       abstracionismo       
abstracționist       abstracionista       
abstracțiune         abstração            
abstrage             abstrato             
abstrus              abstrusa             
absurd               absurdo              
abținea              absteve-se           
abunda               abundar              
abundant             abundante            
abundent             abundante            
abundență            abundância           
abuz                 abuso                
abuziv               abusivo              
ac                   agulha               
acacie               acácia               
academie             academia             
academic             acadêmico            
acantă               acanto               
accelera             acelerar             
accelerando          accelerando          
accelerat            acelerado            
accelerație          aceleração           
accelerațiune        aceleração           
accepta              aceitar              
acceptabil           aceitável            
acceptant            aceitando            
accesibil            acessível            
accesibilitate       acessibilidade       
accesoriu            acessório            
accident             acidente             
ace                  agulhas              
acetabul             acetábulo            
acetic               acético              
acetilenă            acetileno            
acetilenic           acetilênico          
aceton               acetona              
acetonă              acetona              
acetos               acético              
achiziție            aquisição            
achizițiune          aquisição            
achizitiv            aquisitivo           
acid                 ácido                
acidimetru           acidimetru           
acido                ácido                
acin                 acinus               
aclama               aclamar              
aclamație            aclamação            
aclimatare           aclimatare           
aclimatiza           aclimatar            
aclimatizare         aclimatação          
acomoda              acomodar             
acomodat             acomodado            
acomodație           acomodatício         
acomodațiune         acomodatício         
aconit               acônito              
acordeon             acordeão             
acordeonist          acordeonista         
acordeonistă         acordeonista         
acosmism             acosmism             
acrescent            acrescent            
acrilic              acrílico             
acroamatic           acroamatic           
acrobat              acrobata             
acrobată             acrobata             
acrofobie            acrofobia            
acrolit              acrolit              
acromanie            acromanie            
acromatină           acromatină           
acromatism           acromatismo          
acromatiza           acromatiza           
acromatizare         acromatizare         
acromatopsie         acromatopsie         
acromegalie          acromegalia          
acromelalgie         acromelalgie         
acropolă             acrópole             
acropole             acrópole             
acta                 acta                 
actant               actante              
actinometru          actinometru          
actinomorf           actinomorfe          
actinopterigian      actinopterigian      
actinoterapie        actinoterapie        
acțiune              ação                 
activ                ativo                
activa               ativar               
activism             ativismo             
activist             ativista             
activistă            ativista             
activitate           atividade            
actor                ator                 
actual               atual                
actuar               atuário              
acuaforte            acuaforte            
aculeiform           aculeiform           
aculeu               aculeu               
aculturație          aculturação          
acumetrie            acumetrie            
acumula              acumular             
acupla               acupla               
acustic              acústico             
acut                 agudo                
acuzativ             acusativo            
acvaplanare          aquaplaning          
acvariu              aquário              
acvatic              aquático             
acvatintă            acvatinta            
acvilă               águia                
acvilin              aquilino             
adagiu               adágio               
adamantin            adamantino           
adamantină           adamantino           
adapta               adaptar-se           
addendum             adendo               
adecvație            adequação            
adelfo               adelfo               
adenită              adenitis             
adenom               adenoma              
adera                aderir               
aderent              aderente             
