COGNATE PAIRS

ROMANIAN             SPANISH              

abac                 ábaco                
abacă                ábaco                
abandona             abandonar            
abanos               ébano                
abatesă              abadesa              
abație               abadía               
abces                absceso              
abdica               abdicar              
abdomen              abdomen              
abductor             abductor             
abecedar             abecedario           
aberație             aberración           
abil                 hábil                
abis                 abismo               
abject               abyecto              
ablațiune            ablación             
ablativ              ablativo             
abluțiune            ablución             
abnegație            abnegación           
abnegațiune          abnegación           
aboli                abolir               
abominabil           abominable           
abominațiune         abominación          
aborigen             aborigen             
abortiv              abortivo             
abrevia              abreviar             
abscisă              abscisa              
absent               ausente              
absență              ausencia             
absenteism           absentismo           
absint               ajenjo               
absoluțiune          absoluto             
absorbi              absorber             
absorbție            absorción            
absorpțiune          absorción            
abstențiune          abstención           
abstinent            abstinente           
abstinență           abstinencia          
abstract             abstracto            
abstracție           abstracción          
abstracțiune         abstracción          
abstrus              abstruso             
absurd               absurdo              
abține               abstenerse           
abținea              abstenido            
abunda               abundar              
abundență            abundancia           
abuz                 abuso                
acacie               acacia               
academie             academia             
academic             académico            
acantă               acanto               
accelera             acelerar             
accelerație          aceleración          
accelerațiune        aceleración          
accepta              aceptar              
acceptabil           aceptable            
acceptant            aceptar              
acces                acceso               
accesibil            accesible            
accident             accidente            
acetabul             acetábulo            
acid                 ácido                
acido                ácido                
aclama               aclamar              
aclamație            aclamación           
aclimatare           aclimatare           
aclimatiza           aclimatar            
aclimatizat          aclimatado           
acomoda              acomodar             
acta                 acta                 
acțiune              acción               
activ                activo               
activitate           actividad            
actuar               actuario             
acuarelă             acuarela             
acumula              acumular             
acupunctură          acupuntura           
acut                 agudo                
acuzativ             acusativo            
acva                 acuicultura          
acvariu              acuario              
acvatic              acuático             
acvifer              acuífero             
acvilă               águila               
adagiu               adagio               
adamantin            adamantino           
adamantină           adamantino           
adapta               adaptar              
adaptat              adaptado             
adecvație            adecuación           
adera                adherirse            
aderent              adherente            
adeziune             adhesión             
adiacent             adyacente            
adipos               adiposo              
adiție               adición              
adjectiv             adjetivo             
adjudecație          adjudicación         
administrație        administración       
administrațiune      administración       
administrativ        administrativo       
administrator        administrador        
admira               admirar              
admirație            admiración           
admirațiune          admiración           
admirator            admirador            
admite               admitir              
admisiune            admisión             
adolescent           adolescente          
adopta               adoptar              
adoptabil            adoptable            
adopție              adopción             
adoptiv              adoptivo             
adora                adorar               
adorabil             adorable             
adorare              adorar               
adorat               adorado              
adoratoare           adoración            
adorator             adorador             
aducțiune            aducción             
adulație             adulación            
adulațiune           adulación            
adult                adulto               
adulter              adulterio            
adultera             adúltera             
adulterin            adulterino           
advecție             advección            
adventist            adventista           
adverb               adverbio             
adverbial            adverbial            
advers               adverso              
adversar             adversario           
adversară            adversario           
adversativ           adversativo          
adversitate          adversidad           
aerosol              aerosol              
aerostat             aeróstato            
aerostatică          aerostática          
afabil               afable               
afabilitate          afabilidad           
afecta               afectar              
afectare             afectando            
afectație            afectación           
afecțiune            afecto               
afectiv              afectivo             
aferent              aferente             
afinitate            afinidad             
afirmativ            afirmativo           
aflicțiune           aflicciones          
aflictiv             aflicciones          
afluent              afluente             
aforism              aforismo             
aftă                 aftas                
afuziune             afusión              
agat                 ágata                
agent                agente               
agenție              agencia              
agil                 ágil                 
agile                ágil                 
agilitate            agilidad             
agitație             agitación            
agitațiune           agitación            
agitatoare           agitadores           
agitator             agitador             
aglutina             aglutinar            
aglutinat            aglutinar            
agogică              agógico              
