COGNATE PAIRS

ROMANIAN             TURKISH              

abac                 abaküs               
abacă                abaküs               
aberație             aberasyon            
ablativ              ablatif              
abona                abone                
abonat               abone                
abscisă              apsis                
acacie               akasya               
academie             akademi              
accesoriu            aksesuar             
acetat               asetat               
acetic               asetik               
acetilenă            asetilen             
aceton               aseton               
acetonă              aseton               
acetos               asetik               
acid                 asit                 
acido                asit                 
acordeon             akordeon             
acredita             akredite             
acreditare           akreditasyon         
acreditiv            akreditif            
acrilic              akrilik              
acro                 akro                 
acrobat              akrobat              
acrobată             akrobat              
acropolă             akropol              
acropole             akropol              
acrostih             akrostiş             
activ                aktif                
actor                aktör                
actriță              aktris               
actuar               aktüer               
acupunctură          akupunktur           
acustic              akustik              
acustică             akustik              
acut                 akut                 
acvariu              akvaryum             
acvifer              akifer               
adaptare             adaptasyon           
adrenalină           adrenalin            
adresă               adres                
adresantă            adres                
adresare             adres                
adresa               adres                
advocat              avukat               
afazie               afazi                
afrodiziac           afrodizyak           
aftă                 aft                  
agavă                agave                
agave                agave                
agent                ajan                 
agenție              ajans                
agnostic             agnostik             
agorafobie           agorafobi            
ajur                 ajur                 
alarmă               alarm                
albatros             albatros             
albinism             albinizm             
albinos              albino               
album                albüm                
albumen              albümin              
albumină             albümin              
alcool               alkol                
aldehidă             aldehit              
alegorie             alegori              
alergie              alerji               
alfa                 alfa                 
alfabet              alfabe               
alfanumeric          alfanümerik          
algă                 alg                  
alizarină            alizarin             
almanah              almanak              
aloe                 aloe                 
alterna              alternatif           
alternant            alternatif           
alternativ           alternatif           
alternativă          alternatif           
alternator           alternatör           
altimetru            altimetre            
altruizm             altruizm             
aluminiu             alüminyum            
aluviune             alüvyon              
amator               amatör               
ambulanță            ambulans             
americiu             amerikyum            
ametist              ametist              
amfibian             amfibi               
amfibiu              amfibi               
amfiteatru           amfitiyatro          
amiantă              amyant               
amibă                amip                 
amină                amin                 
amiral               amiral               
amnezie              amnezi               
amniotic             amniyotik            
amoniac              amonyak              
amorf                amorf                
amortizare           amortisman           
amortizor            amortisör            
amper                amper                
amplificare          amplifikasyon        
ampulă               ampul                
anabolism            anabolizma           
anafilaxie           anafilaksi           
analgezie            analjezi             
analiză              analiz               
analizare            analiz               
ananas               ananas               
anarhie              anarşi               
anatomie             anatomi              
anatomo              anatomik             
andezit              andezit              
andro                andro                
androgen             androjen             
android              android              
anecdotă             anekdot              
anemie               anemi                
anemiat              anemik               
anemometru           anemometre           
anemonă              anemon               
anestezie            anestezi             
anesteziere          anestezi             
anghină              anjin                
angină               anjin                
angio                anjiyo               
animare              animasyon            
animație             animasyon            
animațiune           animasyon            
animator             animasyon            
animism              animizm              
animist              animist              
animizm              animizm              
anod                 anot                 
anomalie             anomali              
anomie               anomi                
anonim               anonim               
anormal              anormal              
antenă               anten                
anticorp             antikor              
antigen              antijen              
antilopă             antilop              
antimoniu            antimon              
antipatie            antipati             
antologie            antoloji             
antracit             antrasit             
antropo              antropolojik         
antropometrie        antropometri         
anus                 anüs                 
aortă                aort                 
apendicită           apandisit            
apnee                apne                 
apolitic             apolitik             
apostilă             apostil              
apostrof             apostrof             
apostrofă            apostrof             
arbaletă             arbalet              
arc                  ark                  
ardezie              arduvaz              
arenă                arena                
argon                argon                
argot                argo                 
argou                argo                 
arhaic               arkaik               
arheologie           arkeoloji            
arhiduce             arşidük              
arhivă               arşiv                
arhiva               arşiv                
aristocrat           aristokrat           
aritmetică           aritmetik            
aritmie              aritmi               
armator              armatör              
armătură             armatür              
aromat               aromatik             
arsenic              arsenik              
arteră               arter                
artezian             artezyen             
artrită              artrit               
arzător              brülör               
as                   as                   
ascensor             asansör              
asfalt               asfalt               
asfalta              asfalt               
asfaltat             asfalt               
asimilare            asimilasyon          
asimilat             asimile              
asimilație           asimilasyon          
asimilațiune         asimilasyon          
asimptotă            asimptot             
asistent             asistan              
asocial              asosyal              
aspirator            aspiratör            
aspirină             aspirin              
asteroid             asteroit             
astmă                astım                
astrologie           astroloji            
astronaut            astronot             
astronaută           astronot             
astronomie           astronomi            
atavism              atavizm              
atavizm              atavizm              
ateu                 ateist               
ateism               ateizm               
atelier              atölye               
atlet                atlet                
atletă               atlet                
atmo                 atmosferik           
atmosferă            atmosfer             
atol                 atol                 
atom                 atom                 
atonal               atonal               
atrofie              atrofi               
atrofiere            atrofi               
atropină             atropin              
aut                  aut                  
autarhie             otarşi               
autentic             otantik              
autism               otizm                
autobuz              otobüs               
autoclavă            otoklav              
autocrat             otokrat              
autocrație           otokrasi             
autodidact           otodidakt            
automat              otomatik             
autopsie             otopsi               
autopsia             otopsi               
avantaj              avantaj              
avantaja             avantaj              
averaj               averaj               
avocado              avokado              
avocat               avukat               
avocată              avukat               
axiomă               aksiyom              
axon                 akson                
azalee               açelya               
azbest               asbest               
azimut               azimut               
azot                 azot                 
bacalaureat          bakalorya            
bacalaureată         bakalorya            
bacil                basil                
bacterian            bakteri              
bactericid           bakterisit           
bacterie             bakteri              
bagaj                bagaj                
baie                 banyo                
balast               balast               
balata               balata               
balcon               balkon               
balenă               balina               
balerină             balerin              
balet                bale                 
balistic             balistik             
balistică            balistik             
balon                balon                
bambus               bambu                
bandă                bant                 
baobab               baobap               
bar                  bar                  
bară                 bar                  
baraj                baraj                
barbar               barbar               
baricadă             barikat              
baricadare           barikat              
baricada             barikat              
barieră              bariyer              
bariton              bariton              
bariu                baryum               
barman               barmen               
barometru            barometre            
baron                baron                
bas                  bas                  
baschet              basketbol            
batist               patiska              
bauxită              boksit               
bazalt               bazalt               
bazilică             bazilika             
bej                  bej                  
benzen               benzen               
benzină              benzin               
bere                 bira                 
beretă               bere                 
beril                beril                
beșamel              beşamel              
beton                beton                
bicarbonat           bikarbonat           
bicicletă            bisiklet             
biciclete            bisiklet             
bideu                bide                 
bifocal              bifokal              
biftec               biftek               
bigudiu              bigudi               
bikini               bikini               
biletă               bilet                
biliard              bilardo              
bio                  biyo                 
biografie            biyografi            
biologie             biyoloji             
biopsie              biyopsi              
birocrație           bürokrasi            
biscuit              bisküvi              
bisexual             biseksüel            
bisexuat             biseksüel            
bismut               bizmut               
bistrou              bistro               
bit                  bit                  
bitum                bitüm                
bituma               bitüm                
bitumen              bitüm                
bizon                bizon                
bluf                 blöf                 
bluză                bluz                 
bluza                bluz                 
bobină               bobin                
bobina               bobin                
boem                 bohem                
bolero               bolero               
bolerou              bolero               
bomb                 bomba                
bombă                bomba                
bombardament         bombardıman          
bonus                bonus                
bor                  bor                  
borax                boraks               
botanic              botanik              
botanică             botanik              
brandy               brendi               
briantină            briyantin            
briefing             brifing              
brocart              brokar               
brom                 brom                 
bronhi               bronş                
bronhie              bronş                
brontozaur           brontosaurus         
bronz                bronz                
broșă                broş                 
broșură              broşür               
brut                 brüt                 
buchet               buket                
budincă              puding               
bufet                büfe                 
buget                bütçe                
buldozer             buldozer             
buletin              bülten               
bumerang             bumerang             
bungalou             bungalov             
bungalov             bungalov             
burghezi             burjuva              
burjui               burjuva              
bust                 büst                 
bustier              büstiyer             
butan                bütan                
butic                butik                
butică               butik                
cabaret              kabare               
cabină               kabin                
cablă                kablo                
cablu                kablo                
cabotaj              kabotaj              
cacao                kakao                
cacofonie            kakofoni             
cactus               kaktüs               
cadastra             kadastro             
cadastrare           kadastro             
cadastru             kadastro             
cadran               kadran               
cadril               kadril               
caduc                kadük                
cafeină              kafein               
calcit               kalsit               
calciu               kalsiyum             
caleidoscop          kaleydoskop          
calibru              kalibre              
caligrafie           kaligrafi            
caligrafia           kaligrafi            
calitate             kalite               
calori               kalori               
calorie              kalori               
camion               kamyon               
campană              kampanya             
campania             kampanya             
campanie             kampanya             
campioană            şampiyon             
campion              şampiyon             
campus               kampus               
camuflaj             kamuflaj             
camuflare            kamuflaj             
canal                kanal                
cancer               kanser               
cancero              kanserli             
cangrenă             kangren              
cangur               kanguru              
caniș                kaniş                
canoe                kano                 
cantată              kantat               
cantină              kantin               
caolin               kaolin               
capacitate           kapasite             
capitalist           kapitalist           
capitulație          kapitülasyon         
capriciu             kapris               
capsulă              kapsül               
capsulare            kapsül               
capsulat             kapsül               
caracter             karakter             
carambol             karambol             
caravelă             karavela             
carbohidrat          karbonhidrat         
carbon               karbon               
carbonat             karbonat             
carbonata            karbonat             
carbonic             karbonik             
carburator           karbüratör           
cardinal             kardinal             
cardinale            kardinal             
careŭ                kare                 
caricatură           karikatür            
caricaturiza         karikatür            
caricaturizare       karikatür            
carieră              kariyer              
cariere              kariyer              
carnaval             karnaval             
carosare             karoser              
caroten              karoten              
cartel               kartel               
carton               karton               
cartuș               kartuş               
cască                kask                 
cașet                kaşe                 
castă                kast                 
castanetă            kastanyet            
catalepsie           katalepsi            
cataliză             kataliz              
catalizare           kataliz              
catalog              katalog              
cataloga             katalog              
catamaran            katamaran            
cataractă            katarakt             
catatonie            katatoni             
catedrală            katedral             
categorial           kategorik            
categorie            kategori             
catharsis            katarsis             
catod                katot                
catolic              katolik              
cauciuc              kauçuk               
caustic              kostik               
caustică             kostik               
cavaler              şövalye              
cedru                sedir                
cefalhematom         sefal                
celulită             selülit              
celuloid             selüloit             
celuloză             selüloz              
cement               çimento              
cent                 sent                 
centi                sent                 
centrifug            santrifüj            
cenzură              sansür               
cenzurare            sansür               
cenzurat             sansür               
ceramic              seramik              
ceramică             seramik              
certificat           sertifika            
cesiu                sezyum               
cheratină            keratin              
chimono              kimono               
chimonou             kimono               
chinină              kinin                
chintal              kental               
chist                kist                 
chiuretaj            kürtaj               
cianhidric           siyanür              
cianură              siyanür              
cianurare            siyanür              
cianura              siyanür              
cibernetic           sibernetik           
cibernetică          sibernetik           
ciclamă              siklâmen             
ciclon               siklon               
cifru                şifre                
cilindrare           silindir             
cilindru             silindir             
ciment               çimento              
cimpanzeu            şempanze             
cinema               sinema               
cinematograf         sinema               
cinetic              kinetik              
cinetică             kinetik              
circ                 sirk                 
ciroză               siroz                
cistită              sistit               
citric               sitrik               
citrin               sitrin               
civil                sivil                
clan                 klan                 
clarinet             klarnet              
clasic               klasik               
claustrofobie        klostrofobi          
clavir               klavye               
clică                klik                 
climă                iklim                
climat               iklim                
climatizare          klima                
climatoterapie       iklim                
clinic               klinik               
clinică              klinik               
clinker              klinker              
clișeu               klişe                
clitoris             klitoris             
clon                 klon                 
clonă                klon                 
clor                 klor                 
cloroform            kloroform            
cloroforma           kloroform            
club                 kulüp                
coach                koç                  
coafă                kuaför               
coafor               kuaför               
coaliție             koalisyon            
coalițiune           koalisyon            
cobai                kobay                
cobalt               kobalt               
cobră                kobra                
cocaină              kokain               
cocardă              kokart               
cockpit              kokpit               
cocs                 kok                  
cocteil              kokteyl              
cod                  kod                  
codeină              kodein               
codex                kodeks               
cola                 kola                 
colaj                kolaj                
colesterol           kolesterol           
colic                kolik                
colică               kolik                
colier               kolye                
colită               kolit                
coloid               koloit               
colon                kolon                
colonie              koloni               
colostru             kolostrum            
colză                kolza                
comă                 koma                 
